"ID"	"Label"
"CNA-2005-CONSO-MEN-PRODUIT"	"Annual National Accounts (base 2005) - Actual final consumption of households detailed -  By product - Stopped series"
"CNA-2005-CONSO-SI-A17"	"Annual National Accounts (base 2005) - Final consumption expenditure by institutional sectors - level A5, A10 and A17 - Stopped series"
"CNA-2005-CONSO-SI-A38"	"Annual National Accounts (base 2005) - Final consumption expenditure by institutional sectors - level A38 - Stopped series"
"CNA-2005-CONSO-SI-A88"	"Annual National Accounts (base 2005) - Final consumption expenditure by institutional sectors - level A88 - Stopped series"
"CNA-2005-CPEB-A17"	"Annual National Accounts (base 2005) - Production and operating accounts by branch - level A5, A10 and A17 - Stopped series"
"CNA-2005-CPEB-A38"	"Annual National Accounts (base 2005) - Production and operating accounts by branch - level A38 - Stopped series"
"CNA-2005-CPEB-A88"	"Annual National Accounts (base 2005) - Production and operating accounts by branch - level A88 - Stopped series"
"CNA-2005-CSI"	"Annual National Accounts (base 2005) - Institutional sectors accounts - Stopped series"
"CNA-2005-DEP-APU"	"Total consolidated General government expenditures - By COFOG function and institutional sector (base 2005) - Stopped series"
"CNA-2005-DEP-APU-OP"	"General government expenditures - By transaction, COFOG function and institutional sector (base 2005) - Stopped series"
"CNA-2005-DETTE-APU"	"Annual debt of General government within the meaning of Maastricht by sub-sector and instrument (base 2005) - Stopped series"
"CNA-2005-DUREE-TRAV-A17"	"Annual National Accounts (base 2005) - Annual effective worked duration - level A5, A10 and A17 - Stopped series"
"CNA-2005-DUREE-TRAV-A38"	"Annual National Accounts (base 2005) - Annual effective worked duration - level A38 - Stopped series"
"CNA-2005-EMPLOI-A17"	"Annual National Accounts (base 2005) - Domestic employment - level A5, A10 and A17 - Stopped series"
"CNA-2005-EMPLOI-A38"	"Annual National Accounts (base 2005) - Domestic employment - level A38 - Stopped series"
"CNA-2005-EMPLOI-SI"	"Annual National Accounts (base 2005) - Total domestic employment by institutional sector - Stopped series"
"CNA-2005-ERE-A17"	"Annual National Accounts (base 2005) - Resources-uses balance - level A5, A10 and A17 - Stopped series"
"CNA-2005-ERE-A38"	"Annual National Accounts (base 2005) - Resources-uses balance - level A38 - Stopped series"
"CNA-2005-ERE-A88"	"Annual National Accounts (base 2005) - Resources-uses balance - level A88 - Stopped series"
"CNA-2005-FAF"	"Annual National Accounts (base 2005) - Fixed assets flows - Stopped series"
"CNA-2005-FBCF-A17"	"Annual National Accounts (base 2005) - Gross fixed capital formation of branches - level A5, A10 and A17 - Stopped series"
"CNA-2005-FBCF-A38"	"Annual National Accounts (base 2005) - Gross fixed capital formation of branches - level A38 - Stopped series"
"CNA-2005-FBCF-SI-A17"	"Annual National Accounts (base 2005) - GFCF (Gross fixed capital formation) by institutional sector - level A5, A10 and A17 - Stopped series"
"CNA-2005-FBCF-SI-A38"	"Annual National Accounts (base 2005) - GFCF (Gross fixed capital formation) by institutional sector - level A38 - Stopped series"
"CNA-2005-FBCF-SI-A88"	"Annual National Accounts (base 2005) - GFCF (Gross fixed capital formation) by institutional sector - level A88 - Stopped series"
"CNA-2005-FINANCES-APU"	"Annual debt and deficit of General government within the meaning of Maastricht by sub-sector (base 2005) - Stopped series"
"CNA-2005-PAT-NF"	"Annual National Accounts (base 2005) - Stocks and change in non financial assets by institutional sector - Stopped series"
"CNA-2005-PIB"	"Annual National Accounts (base 2005) - Gross Domestic Product (GDP) - Stopped series"
"CNA-2005-PRODUCTIVITE-A17"	"Annual National Accounts (base 2005) - Hourly productivity - level A5, A10 and A17 - Stopped series"
"CNA-2005-PRODUCTIVITE-A38"	"Annual National Accounts (base 2005) - Hourly productivity - level A38 - Stopped series"
"CNA-2005-RDB"	"Annual National Accounts (base 2005) - Households' gross disposable income and purchasing power - Stopped series"
"CNA-2005-TEI-A10"	"Annual National Accounts (base 2005) - Table of intermediate input -  Level A10 - Stopped series"
"CNA-2005-TEI-A17"	"Annual National Accounts (base 2005) - Table of intermediate input -   Level A17 - Stopped series"
"CNA-2005-TEI-A38"	"Annual National Accounts (base 2005) - Table of intermediate input -  Level A38 - Stopped series"
"CNA-2005-TEI-A5"	"Annual National Accounts (base 2005) - Table of intermediate input -  Level A5 - Stopped series"
"CNA-2005-TOF-FLUX"	"Annual National Accounts (base 2005) - Flows and stocks of assets and liabilities by institutional sector - Stopped series"
"CNA-2005-TOF-VAR"	"Annual National Accounts (base 2005) - Change in financial assets by institutional sector - Stopped series"
"CNA-2005-VOL-TRAV-A17"	"Annual National Accounts (base 2005) - Volume of hours worked - level A5, A10 and A17 - Stopped series"
"CNA-2005-VOL-TRAV-A38"	"Annual National Accounts (base 2005) - Volume of hours worked - level A38 - Stopped series"
"CNA-2010-CF-BR"	"Annual National Accounts (base 2010) - Fixed capital stocks and consumption by branch"
"CNA-2010-CF-SI"	"Annual National Accounts (base 2010) - Fixed capital stocks and consumption by institutional sector"
"CNA-2010-CONSO-MEN-DURAB"	"Annual National Accounts (base 2010) - Actual final consumption of households detailed -  By durability"
"CNA-2010-CONSO-MEN-FONCTION"	"Annual National Accounts (base 2010) - Actual final consumption of households detailed -  By function"
"CNA-2010-CONSO-MEN-PRODUIT"	"Annual National Accounts (base 2010) - Actual final consumption of households detailed -  By product"
"CNA-2010-CONSO-SI-A17"	"Annual National Accounts (base 2010) - Final consumption expenditure by institutional sectors - level A5, A10 and A17"
"CNA-2010-CONSO-SI-A38"	"Annual National Accounts (base 2010) - Final consumption expenditure by institutional sectors - level A38"
"CNA-2010-CONSO-SI-A88"	"Annual National Accounts (base 2010) - Final consumption expenditure by institutional sectors - level A88"
"CNA-2010-CPEB-A17"	"Annual National Accounts (base 2010) - Production and operating accounts by branch - level A5, A10 and A17"
"CNA-2010-CPEB-A38"	"Annual National Accounts (base 2010) - Production and operating accounts by branch - level A38"
"CNA-2010-CPEB-A88"	"Annual National Accounts (base 2010) - Production and operating accounts by branch - level A88"
"CNA-2010-CSI"	"Annual National Accounts (base 2010) - Institutional sectors accounts"
"CNA-2010-DEP-APU"	"Total consolidated General government expenditures - By COFOG function and institutional sector (base 2010)"
"CNA-2010-DEP-APU-OP"	"General government expenditures - By transaction, COFOG function and institutional sector (base 2010)"
"CNA-2010-DETTE-APU"	"Annual debt of General government within the meaning of Maastricht by sub-sector and instrument (base 2010)"
"CNA-2010-DUREE-TRAV-A17"	"Annual National Accounts (base 2010) - Annual effective worked duration - level A5, A10 and A17"
"CNA-2010-DUREE-TRAV-A38"	"Annual National Accounts (base 2010) - Annual effective worked duration - level A38"
"CNA-2010-EMPLOI-A17"	"Annual National Accounts (base 2010) - Domestic employment - level A5, A10 and A17"
"CNA-2010-EMPLOI-A38"	"Annual National Accounts (base 2010) - Domestic employment - level A38"
"CNA-2010-EMPLOI-SI"	"Annual National Accounts (base 2010) - Total domestic employment by institutional sector"
"CNA-2010-ERE-A17"	"Annual National Accounts (base 2010) - Resources-uses balance - level A5, A10 and A17"
"CNA-2010-ERE-A38"	"Annual National Accounts (base 2010) - Resources-uses balance - level A38"
"CNA-2010-ERE-A88"	"Annual National Accounts (base 2010) - Resources-uses balance - level A88"
"CNA-2010-FAF"	"Annual National Accounts (base 2010) - Fixed assets flows"
"CNA-2010-FBCF-A17"	"Annual National Accounts (base 2010) - Gross fixed capital formation of branches - level A5, A10 and A17"
"CNA-2010-FBCF-A38"	"Annual National Accounts (base 2010) - Gross fixed capital formation of branches - level A38"
"CNA-2010-FBCF-A88"	"Annual National Accounts (base 2010) - Gross fixed capital formation by institutional sectors - level A88"
"CNA-2010-FBCF-SI-A17"	"Annual National Accounts (base 2010) - Gross fixed capital formation by institutional sectors - level A5, A10 and A17"
"CNA-2010-FBCF-SI-A38"	"Annual National Accounts (base 2010) - Gross fixed capital formation by institutional sectors - level A38"
"CNA-2010-FINANCES-APU"	"Annual debt and public deficit of General government within the meaning of Maastricht by sub-sector (base 2010)"
"CNA-2010-PAT-NF"	"Annual National Accounts (base 2010) - Stocks and change in non financial assets by institutional sector"
"CNA-2010-PIB"	"Annual National Accounts (base 2010) - Gross Domestic Product (GDP) balance"
"CNA-2010-PRODUCTIVITE-A17"	"Annual National Accounts (base 2010) - Hourly productivity - level A5, A10 and A17"
"CNA-2010-PRODUCTIVITE-A38"	"Annual National Accounts (base 2010) - Hourly productivity - level A38"
"CNA-2010-RDB"	"Annual National Accounts (base 2010) - Households' gross disposable income and purchasing power"
"CNA-2010-TEI-A10"	"Annual National Accounts (base 2010) - Table of intermediate input - Level A10"
"CNA-2010-TEI-A17"	"Annual National Accounts (base 2010) - Table of intermediate input - Level A17"
"CNA-2010-TEI-A38"	"Annual National Accounts (base 2010) - Table of intermediate input - Level A38"
"CNA-2010-TEI-A5"	"Annual National Accounts (base 2010) - Table of intermediate input -  Level A5"
"CNA-2010-TOF-FLUX"	"Annual National Accounts (base 2010) - Flows and stocks of assets and liabilities by institutional sector"
"CNA-2010-TOF-VAR"	"Annual National Accounts (base 2010) - Change in financial assets by institutional sector"
"CNA-2010-VOL-TRAV-A17"	"Annual National Accounts (base 2010) - Volume of hours worked - level A5, A10 and A17"
"CNA-2010-VOL-TRAV-A38"	"Annual National Accounts (base 2010) - Volume of hours worked - level A38"
"CNT-2005-CEB-A17"	"Quarterly National Accounts (base 2005) - Operating account of branches - Level A17 - Stopped series"
"CNT-2005-CEB-RGP"	"Quarterly National Accounts (base 2005) - Operating account of branches - Main groups - Stopped series"
"CNT-2005-CPB-A17"	"Quarterly National Accounts (base 2005) - Production account of branches - Level A17 - Stopped series"
"CNT-2005-CPB-RGP"	"Quarterly National Accounts (base 2005) - Production account of branches - Main groups - Stopped series"
"CNT-2005-CSI-EMP"	"Quarterly National Accounts (base 2005) - Domestic employment by institutional sectors - Stopped series"
"CNT-2005-CSI-OP"	"Quarterly National Accounts (base 2005) - Operations by institutional sectors - Stopped series"
"CNT-2005-CSI-SC"	"Quarterly National Accounts (base 2005) - Balancing items of institutional sectors - Stopped series"
"CNT-2005-DUREE-TRAV-A17"	"Quarterly National Accounts (base 2005) - Weekly duration and volume of work by branch - Level A17 - Stopped series"
"CNT-2005-DUREE-TRAV-RGP"	"Quarterly National Accounts (base 2005) - Weekly duration and volume of work by branch - Main groups - Stopped series"
"CNT-2005-EMPLOI-A17"	"Quarterly National Accounts (base 2005) - Domestic employment by branch - Level A17 - Stopped series"
"CNT-2005-EMPLOI-RGP"	"Quarterly National Accounts (base 2005) - Domestic employment by branch - Main groups - Stopped series"
"CNT-2005-OPERATIONS-A17"	"Quarterly National Accounts (base 2005) - Operations on goods and services by product (level 16) and operation - Stopped series"
"CNT-2005-OPERATIONS-RGP"	"Quarterly National Accounts (base 2005) - Operations on main groups of goods and services - Stopped series"
"CNT-2005-PIB-EQB"	"Quarterly National Accounts (base 2005) - Gross Domestic Product balance - Stopped series"
"CNT-2005-PIB-RF"	"Quarterly National Accounts (base 2005) - Gross domestic product and revenues of market price factors - Stopped series"
"CNT-2010-CEB-A17"	"Quarterly National Accounts (base 2010) - Operating account of branches - Level A17"
"CNT-2010-CEB-RGP"	"Quarterly National Accounts (base 2010) - Operating account of branches - Main groups"
"CNT-2010-CPB-A17"	"Quarterly National Accounts (base 2010) - Production account of branches - Level A17"
"CNT-2010-CPB-RGP"	"Quarterly National Accounts (base 2010) - Production account of branches - Main groups"
"CNT-2010-CSI-EMP"	"Quarterly National Accounts (base 2010) - Domestic employment by institutional sectors"
"CNT-2010-CSI-OP"	"Quarterly National Accounts (base 2010) - Operations by institutional sectors"
"CNT-2010-CSI-SC"	"Quarterly National Accounts (base 2010) - Balancing items of institutional sectors"
"CNT-2010-DUREE-TRAV-A17"	"Quarterly National Accounts (base 2010) - Weekly duration and volume of work by branch - Level A17"
"CNT-2010-DUREE-TRAV-RGP"	"Quarterly National Accounts (base 2010) - Weekly duration and volume of work by branch - Main groups"
"CNT-2010-EMPLOI-A17"	"Quarterly National Accounts (base 2010) - Domestic employment by branch - Level A17"
"CNT-2010-EMPLOI-RGP"	"Quarterly National Accounts (base 2010) - Domestic employment by branch - Main groups"
"CNT-2010-OPERATIONS-A17"	"Quarterly National Accounts (base 2010) - Operations on goods and services by product (level 16) and operation"
"CNT-2010-OPERATIONS-RGP"	"Quarterly National Accounts (base 2010) - Operations on main groups of goods and services"
"CNT-2010-PIB-EQB"	"Quarterly National Accounts (base 2010) - Gross Domestic Product balance"
"CNT-2010-PIB-RF"	"Quarterly National Accounts (base 2010) - Gross domestic product and revenues of market price factors"
"CNT-DETTE-INSTRUMENTS"	"Quarterly debt of General government within the meaning of Maastricht by instrument"
"CNT-DETTE-SI"	"Quarterly debt of General government within the meaning of Maastricht by sub-sector"
"COM-EXT-A17"	"Foreign trade of France in value (incl. overseas departments) - Products level A17 - NAF rev. 2"
"COM-EXT-A38"	"Foreign trade of France in value (incl. overseas departments) - Products level A38 - NAF rev. 2"
"COM-EXT-AFRIQUE"	"Foreign trade of France in value (incl. overseas departments) - By country of Africa - NAF rev. 2"
"COM-EXT-AMERIQUE"	"Foreign trade of France in value (incl. overseas departments) - By country of America - NAF rev. 2"
"COM-EXT-ASIE"	"Foreign trade of France in value (incl. overseas departments) - By country of Asia and Oceania - NAF rev. 2"
"COM-EXT-AUTRES"	"Foreign trade of France in value (incl. overseas departments) - By overseas territorial authorities and other countries - NAF rev. 2"
"COM-EXT-EUROPE"	"Foreign trade of France in value (incl. overseas departments) - By country of Europe - NAF rev. 2"
"COM-EXT-MOYENORIENT"	"Foreign trade of France in value (incl. overseas departments) - By country of Middle East - NAF rev. 2"
"COM-EXT-RGP"	"Foreign trade of France in value (incl. overseas departments) - Main groups of products - NAF rev. 2"
"COM-EXT-ZONE"	"Foreign trade of France in value (incl. overseas departments) - By geographic or economic zone - NAF rev. 2"
"COMPTES-ETAT"	"Central Government Operations"
"CONSO-MENAGES-2005"	"Monthly household consumption expenditure on goods in volume (base 2005) - Stopped series"
"CONSO-MENAGES-2010"	"Monthly household consumption expenditure on goods in volume (base 2010)"
"COURS-DEVISES-MAT-PREM"	"Exchange rates for foreign currencies used to measure the prices of imported raw materials"
"COURS-INT-MAT-PREM"	"International prices for raw materials"
"CRA-2000-PIB"	"Regional GDP - Base year 2000 - Stopped series"
"CRA-2000-VA"	"Regional value added - Base year 2000 - Stopped series"
"CRA-2005-PIB"	"Regional GDP - Base year 2005"
"CRA-2005-VA"	"Regional value added - Base year 2005"
"CREATIONS-ENT-DEP-TYPE"	"Enterprises births - Departments by type of enterprise - Monthly raw series"
"CREATIONS-ENT-FR-ACT"	"Enterprises births - France by economic activity - Quarterly series"
"CREATIONS-ENT-FR-ACT-TYPE"	"Enterprises births - France by economic activity and type of enterprise - Monthly series"
"CREATIONS-ENT-FR-TYPE"	"Enterprises births - France by type of enterprise - Raw series"
"CREATIONS-ENT-HISTO"	"Enterprises births - France - Annual series since 1987"
"CREATIONS-ENT-NAF1-DEP-RGP"	"Quarterly creations - In overseas departments by main group of sectors and department - Series in NAF Rev, 1 stopped at the end of 2008"
"CREATIONS-ENT-NAF1-DOM-ENS"	"Quarterly creations - In overseas departments for all sectors according to department - Series in NAF Rev, 1 stopped at the end of 2008"
"CREATIONS-ENT-NAF1-DOM-ENS-ANC"	"Enterprises births - Quarterly creations - In overseas departments for all sectors according to department and type of start-up   - Stopped series"
"CREATIONS-ENT-NAF1-DOM-RGP-ANC"	"Enterprises births - Quarterly creations - In overseas departments by main group of sectors and department - Stopped series"
"CREATIONS-ENT-NAF1-FR-ENS"	"Monthly and quarterly creations - Whole of France (incl. overseas departments) for all sectors - Series in NAF Rev, 1 stopped at the end of 2008"
"CREATIONS-ENT-NAF1-FR-ENS-ANC"	"Enterprises births - Monthly and quarterly creations - Whole of France (incl. overseas departments) and for all sectors according to the type of creation   - Stopped series"
"CREATIONS-ENT-NAF1-FR-RGP"	"Monthly creations - France - Industry - NAF rev. 1 - Stopped series"
"CREATIONS-ENT-NAF1-FR-RGP-ANC"	"Enterprises births - Monthly and quarterly creations - In the whole of France (incl. overseas departments) by main group of sectors - Stopped series"
"CREATIONS-ENT-NAF1-REG-ENS"	"Quarterly creations - In metropolitan France for all sectors according to region - Series in NAF Rev, 1 stopped at the end of 2008"
"CREATIONS-ENT-NAF1-REG-ENS-ANC"	"Enterprises births - Quarterly creations - In metropolitan France for all sectors according to region and type of start-up  - Stopped series"
"CREATIONS-ENT-NAF1-REG-RGP"	"Quarterly creations - In metropolitan France by main group of sectors and region - Series in NAF Rev, 1 stopped at the end of 2008"
"CREATIONS-ENT-NAF1-REG-RGP-ANC"	"Enterprises births - Quarterly creations - In metropolitan France by main group of sectors and region - Stopped series"
"CREATIONS-ENT-NES16-DOM"	"Quarterly creations) - In overseas departments according to sector (NES 16 classification) by department - Series in NAF Rev, 1 stopped at the end of 2008"
"CREATIONS-ENT-NES16-DOM-ANC"	"Enterprises births - Quarterly creations - In overseas departments according to the sector (NES 16 classification) by department - Stopped series"
"CREATIONS-ENT-NES16-REG"	"Monthly and quarterly creations - According to sector (NES 16 classification), by metropolitan region and for the whole of France - Series in NAF Rev, 1 stopped at the end of 2008"
"CREATIONS-ENT-NES16-REG-ANC"	"Enterprises births - Monthly and quarterly creations - According to the sector (NES 16 classification), by metropolitan region and for the whole of France - Stopped series"
"CREATIONS-ENT-NES36-REG-P1"	"Quarterly creations - In the \"Hotels, restaurants & cafes\" sector (NES 36: P1 classification) by metropolitan region and for the whole of France - Series in NAF Rev, 1 stopped at the end of 2008"
"CREATIONS-ENT-NES36-REG-P1-ANC"	"Enterprises births - Quarterly creations - In the \"Hotels, Cafs, Restaurants\" sector (NES 36 classification: P1) by metropolitan region and for the whole of France - Stopped series"
"CREATIONS-ENT-REG-ACT"	"Enterprises births - Regions by economic activity - Quarterly SA series"
"CREATIONS-ENT-REG-ACT-TYPE"	"Enterprises births - Regions by economic activity and type of enterprise - Quarterly raw series"
"CREATIONS-ENT-REG-CVS-ANC"	"Enterprises creations - NAF rev. 2 - Regional SA stopped series"
"CULTURE-COM-EXT"	"Imports and exports of main cultural goods and services"
"CULTURE-CONSO"	"Household consumption in cultural goods and services"
"CULTURE-EMPLOI"	"Cultural employment"
"CULTURE-PATRIMOINE"	"Cultural heritage and museums"
"CULTURE-PRATIQUES"	"French cultural activities"
"CULTURE-PRIX"	"Consumer price index of cultural goods and services"
"DECES"	"Death and mortality"
"DEFAILLANCES-ENT-DEP"	"Business failures - Departments for all economic activities"
"DEFAILLANCES-ENT-DEP-NAF2-ANC"	"Department-level business failures - In NAF rev. 2 for all sectors - Stopped series"
"DEFAILLANCES-ENT-DEP-NES-ANC"	"Department-level business bankruptcy statistics - In NES for all sectors - Stopped series"
"DEFAILLANCES-ENT-FR-A21-ANC"	"National business failures - By sector - Stopped series"
"DEFAILLANCES-ENT-FR-ACT"	"Business failures - France by economic activity"
"DEFAILLANCES-ENT-FR-E16-ANC"	"National business bankruptcy statistics - By grouped sectors: NES16 classification - Stopped series"
"DEFAILLANCES-ENT-FR-E36-ANC"	"National business bankruptcy statistics - By trade and service sector - Stopped series"
"DEFAILLANCES-ENT-FR-NAF1-ANC"	"National business bankruptcy statistics - By grouped sectors (NAF classification)  and date of consideration - Stopped series"
"DEFAILLANCES-ENT-FR-RGP-ANC"	"National business bankruptcy statistics - By sector: main groups - Stopped series"
"DEFAILLANCES-ENT-HISTO"	"Business failures - France - Annual series since 1974"
"DEFAILLANCES-ENT-REG-A21-JUG-ANC"	"Regional business failures - By judgement date - Stopped series"
"DEFAILLANCES-ENT-REG-A21-PUB-ANC"	"Regional business failures - By publication date - Stopped series"
"DEFAILLANCES-ENT-REG-ACT"	"Business failures - Regions by economic activity"
"DEFAILLANCES-ENT-REG-E16-ANC"	"Regional business bankruptcy statistics - By grouped sectors: NES16 classification - Stopped series"
"DEFAILLANCES-ENT-REG-E36-ANC"	"Regional business bankruptcy statistics - By trade and service sector - Stopped series"
"DEFAILLANCES-ENT-REG-ENS-ANC"	"Regional business failures - All activity sectors - Stopped series"
"DEFAILLANCES-ENT-REG-RGP-ANC"	"Regional business bankruptcy statistics - By sector: main groups - Stopped series"
"DEFM-ANCIENNETE"	"Job seekers registered at the end of the month at Ple emploi in categories A, B, C - By seniority of registration"
"DEFM-CAT"	"Job seekers registered at the end of the month at Ple emploi - By category"
"DEFM-CAT-REG"	"Job seekers registered at the end of the month at Ple emploi - By French region and category"
"DEFM-DEP"	"Job seekers registered at the end of the month at Ple emploi in categories A, B, C - By French department"
"DEFM-FLUX"	"Job seekers registered at the end of the month at Ple emploi in categories A, B, C - Input and output by qualification and gender"
"DEFM-JEUNES"	"Job seekers registered at the end of the month at Ple emploi in categories A, B, C - Young people under 30 by training level and age"
"DEFM-REG-AGE"	"Job seekers registered at the end of the month at Ple emploi in categories A, B, C - By French region and age"
"DEFM-REG-SEXE"	"Job seekers registered at the end of the month at Ple emploi in categories A, B, C - By French region and gender"
"DEFM-SEXE-AGE"	"Job seekers registered at the end of the month at Ple emploi - By gender and age"
"DETTE-ETAT"	"Central Government Debt"
"EMAGSA-2005"	"Large food stores turnover indices (EMAGSA) - Base year 2005 - Stopped series"
"EMAGSA-2010"	"Large food stores turnover indices (EMAGSA) - Base year 2010"
"EMB-2005-BZ"	"Branch survey of industrial production (base 2005, NAF rev. 2) - Detailed products in extractive industries - Stopped series"
"EMB-2005-CZ"	"Branch survey of industrial production (base 2005, NAF rev. 2) - Detailed products in manufacturing industries  - Stopped series"
"EMB-2010-BZ"	"Branch survey of industrial production (base 2010, NAF rev. 2) - Detailed products in extractive industries"
"EMB-2010-CZ"	"Branch survey of industrial production (base 2010, NAF rev. 2) - Detailed products in manufacturing industries"
"EMP-AN-DEP-A5"	"Total employment on December 31 - By French department, economic activity and status"
"EMP-AN-FORME"	"Employment (annual average) - By form of employment, gender and age"
"EMP-AN-FR-A4"	"Total employment on December 31 - By economic activity, status and gender"
"EMP-AN-QUOTITE"	"Employment (annual average) - By amount of working time, gender and age"
"EMP-AN-REG-A5"	"Total employment on December 31 - By French region, economic activity and status"
"EMP-SAL-NAF2-A17"	"Quarterly payroll employment by sector - NAF level A17"
"EMP-SAL-NAF2-A38"	"Quarterly payroll employment by sector - NAF level A38"
"EMP-SAL-NAF2-A88"	"Quarterly payroll employment by sector - NAF level A88"
"EMP-SAL-NAF2-RGP"	"Quarterly payroll employment by sector - Main groups"
"EMP-SENIORS"	"Seniors employment - Quarterly series"
"EMP-TRIM"	"Employment by amount of working time, sex and age - Quarterly series"
"ENQ-CONJ-ACT-IND-MENS-A17"	"Economic outlook survey in industry - Monthly questions by sector (level A17) - NAF rev. 2"
"ENQ-CONJ-ACT-IND-MENS-A38"	"Economic outlook survey in industry - Monthly questions by sector (level A38) - NAF rev. 2"
"ENQ-CONJ-ACT-IND-MENS-PERSP"	"Economic outlook survey in industry - Monthly questions on general perspectives - NAF rev. 2"
"ENQ-CONJ-ACT-IND-MENS-RGP"	"Economic outlook survey in industry - Monthly questions by group of sectors - NAF rev. 2"
"ENQ-CONJ-ACT-IND-SYNTH"	"Economic outlook survey in industry - Synthetic indicators - NAF rev. 2"
"ENQ-CONJ-ACT-IND-TRIM-ENT-A17"	"Economic outlook survey in industry - Quarterly questions on enterprises by sector(level A17) - NAF rev. 2"
"ENQ-CONJ-ACT-IND-TRIM-ENT-RGP"	"Economic outlook survey in industry - Quarterly questions on enterprises by group of sectors - NAF rev. 2"
"ENQ-CONJ-ACT-IND-TRIM-PERSP"	"Economic outlook survey in industry - Quarterly questions on general perspectives - NAF rev. 2"
"ENQ-CONJ-ACT-IND-TRIM-PRODUIT-A17"	"Economic outlook survey in industry - Quarterly questions on products by sector (level A17) - NAF rev. 2"
"ENQ-CONJ-ACT-IND-TRIM-PRODUIT-RGP"	"Economic outlook survey in industry - Quarterly questions on products by group of sectors - NAF rev. 2"
"ENQ-CONJ-ART-BAT-CLIENTS"	"Economic outlook survey in building crafts - Results by type of clientele - NAF rev. 2"
"ENQ-CONJ-ART-BAT-CORPS"	"Economic outlook survey in building crafts - Results by building trade - NAF rev. 2"
"ENQ-CONJ-ART-BAT-ENS"	"Economic outlook survey in building crafts - Results for the whole sector - NAF rev. 2"
"ENQ-CONJ-ART-BAT-TRAVAUX"	"Economic outlook survey in building crafts - Results by type of work - NAF rev. 2"
"ENQ-CONJ-COM-DET-ACT12"	"Monthly economic outlook survey in retail trade and in automobile trade and repairs - Activity broken down into 12 sectors - NAF rev. 2"
"ENQ-CONJ-COM-DET-ACT7"	"Monthly economic outlook survey in retail trade and in automobile trade and repairs - Activity broken down into 7 sectors - NAF rev. 2"
"ENQ-CONJ-COM-DET-PROD10"	"Monthly economic outlook survey in retail trade and in automobile trade and repairs - Products broken down into 10 items - CPF rev. 2"
"ENQ-CONJ-COM-DET-PROD8"	"Monthly economic outlook survey in retail trade and in automobile trade and repairs - Products broken down into 8 items - CPF rev. 2"
"ENQ-CONJ-COM-GROS-ACT36"	"Economic outlook survey on wholesaling - Activity broken down into 36 sectors - NAF rev. 2"
"ENQ-CONJ-COM-GROS-ACT6"	"Economic outlook survey on wholesaling - Activity broken down into 6 sectors - NAF rev. 2"
"ENQ-CONJ-COM-GROS-ENS"	"Economic outlook survey on wholesaling - Overall wholesale trade - NAF rev. 2"
"ENQ-CONJ-COM-GROS-SYNTH"	"Economic outlook survey on wholesaling - Summary indicators - NAF rev. 2"
