"Identifier"	"Title"	"Frequency"	"Period"
"82010NED"	"Zeggenschap bedrijven; banen, grootte"	"Eenmaalperjaar"	"2008 t/m 2011"
"82011NED"	"Zeggenschap bedrijven; banen, SBI 2008"	"Eenmaalperjaar"	"2008 t/m 2011"
"81179ned"	"Zeggenschap bedrijven; banen 2006-2008"	"Stopgezet"	"2006-2008"
"80137ned"	"Arbeidsrekeningen; persoonskenmerken"	"Perjaar"	"2001-2005"
"82579NED"	"Arbeid; bedrijfstak en geslacht"	"Eenmaalperjaar"	"1995 - 2014"
"82575NED"	"Arbeid; kwartalen"	"Perkwartaal"	"1995-2015, kw1 1995-kw1 2015"
"81251ned"	"Banen, afstand woon-werk; regio's"	"Perjaar"	"2006 - 2013"
"80339ned"	"Banen; bedrijfsgrootte, 2006-2009"	"Stopgezet"	"2006 - 2009"
"82049NED"	"Banen en lonen; baankenmerken"	"Pervierjaar"	"2010"
"82074NED"	"Banen en lonen; beroepsniveau"	"Pervierjaar"	"2010"
"82072NED"	"Banen en lonen; onderwijsniveau"	"Pervierjaar"	"2010"
"81252NED"	"Banen, geslacht en leeftijd; regio's"	"Perjaar"	"2006 - 2013"
"81497NED"	"Banen van werknemers; bedrijfsgrootte"	"Perjaar"	"2013"
"81402ned"	"Banen van werknemers; SBI2008, regio"	"Perjaar"	"2013v en 2012nv"
"71814ned"	"Banen van werknemers; SBI'93"	"Eenmalig"	"december 2006, december 2007, december 2008 , december 2009"
"80472ned"	"Vacatures; SBI 2008; totaal"	"Perkwartaal"	"1997 -2014, kw I 1997 - kw I 2015"
"80473ned"	"Vacatures;SBI2008;particuliere bedrijven"	"Perkwartaal"	"1997 - 2014, kw I 1997 - kw I 2015."
"80474ned"	"Vacatures; seizoengecorrigeerd, SBI2008"	"Perkwartaal"	"1e Kwartaal 1997 - 1e kwartaal 2015"
"80567ned"	"Vacatures; vacaturegraad naar SBI 2008"	"Perkwartaal"	"1997 kw 1 - 2015 kw 1"
"80857ned"	"Vacatures; overheid en onderwijs"	"Perkwartaal"	"1997 - 2014, kw I 1997 - kw I 2015."
"80900ned"	"Vacature-indicator"	"Permaand"	"januari 1998 -juni 2015"
"82306NED"	"Buitenland geb. werknemers; (niet)-GBA"	"Perjaar"	"1999-2012"
"82307NED"	"Buitenland geb. werknemers; SBI'08, loon"	"Perjaar"	"2006-2012"
"81431ned"	"Werkgelegenheid; kerncijfers"	"Perjaar"	"2009-2013"
"82206NED"	"Bevolking werkzaam in de afgelopen 4 jr"	"Eenmaalperjaar"	"2000-2004, 2001-2005 enz 2006-2010"
"81462ned"	"Werkgelegenheid; bedrijfsgrootte, cao"	"Perjaar"	"2009-2013"
"81432ned"	"Werkgelegenheid; bedrijfsgrootte SBI2008"	"Perjaar"	"2009-2013"
"81463ned"	"Werkgelegenheid; kenmerken baan, cao"	"Perjaar"	"2009-2013"
"81433ned"	"Werkgelegenheid; kenmerken baan, SBI2008"	"Perjaar"	"2009-2013"
"81464ned"	"Werkgelegenheid; werknemer, cao-sector"	"Perjaar"	"2009-2013"
"81434ned"	"Werkgelegenheid; werknemer, SBI2008"	"Perjaar"	"2009-2013"
"82309NED"	"Arbeidsdeelname; kerncijfers"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82922NED"	"Arbeidsdeelname; binding arbeidsmarkt"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82809NED"	"Arbeidsdeelname; herkomst"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82915NED"	"Arbeidsdeelname; jongeren"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"83031NED"	"Arbeidsdeelname; onderwijsniveau"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82914NED"	"Arbeidsdeelname; ouderen"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82919NED"	"Arbeidsdeelname; paren"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82956NED"	"Arbeidsdeelname; positie huishouden"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82208NED"	"Arbeidsdeelname; regio 2014"	"Perjaar"	"2003 - 2014"
"82953NED"	"Arbeidsdeelname; startkwalificatie"	"Perkwartaal"	"2003 1e kwartaal  2015 1e kwartaal"
"71738ned"	"Arbeidsdeelname (12-uursgrens)"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"80068ned"	"Beroepsbev;provincie vanaf 1981 (12-uur)"	"Eenmaalperjaar"	"1981-2013"
"71882ned"	"Beroepsbevolking; vanaf 1800 (12-uur)"	"Eenmaalperjaar"	"1800 - 2013"
"80808ned"	"Binding arbmarkt; gem. inkomen (12-uur)"	"Eenmaalperjaar"	"2005-2012*"
"83066NED"	"Arbeidsdeelname; wissel arbeidspositie "	"Perkwartaal"	"2003 1e kwartaal-2015 1e kwartaal"
"82848NED"	"Arbeidsdeelname; wisselingen per maand"	"Permaand"	"januari 2003-juni 2015"
"80597ned"	"Baanvinders en -wisselaars (12-uur)"	"Eenmaalperjaar"	"2003-2013"
"80024ned"	"Beroepenmob.; beroepsklassen (12-uur)"	"Eenmaalperjaar"	"2003-2011"
"80029ned"	"Beroepenmobiliteit; kenmerken (12-uur)"	"Eenmaalperjaar"	"2003-2011"
"80556ned"	"Verandering dienstverband (12-uur)"	"Eenmaalperjaar"	"2003-2010"
"80547ned"	"Verandering werkkring (12-uur)"	"Eenmaalperjaar"	"2003-2011"
"81571NED"	"Werknemers; in- en uitstroom uit arbeid"	"Eenmaalperjaar"	"2001-2012"
"80590ned"	"Arbeidsdeelname per maand"	"Permaand"	"Januari 2003 - juni 2015"
"80479ned"	"Arbeidsdeelname per maand (12-uursgrens)"	"Permaand"	"Januari 2003 - Juni 2015"
"81031ned"	"Werkloosheid; baanvindduur (12-uur)"	"Eenmaalperjaar"	"2002-2014"
"81075ned"	"Werkloosheid; werkloosheidsduur"	"Eenmaalperjaar"	"2003-2014"
"71959ned"	"Beroepsbev.; regeling werktijden (12-uur"	"Eenmaalperjaar"	"2001 - 2013"
"71960ned"	"Beroepsbev.; woon-werkverkeer (12-uur)"	"Eenmaalperjaar"	"1996 - 2013"
"82312NED"	"Jongeren; ec. zelfstandig (2005-2012)"	"Perjaar"	"2005-2012"
"71906ned"	"Overwerken;achtergrondkenmerken (12-uur)"	"Eenmaalperjaar"	"2000 - 2013"
"80802ned"	"Vergrijzing beroepsbevolking SBI'93"	"Eenmaalperjaar"	"1960-2014"
"80832ned"	"Vergrijzing beroepsbevolking SBI 2008"	"Eenmaalperjaar"	"2001-2014"
"80809ned"	"Werkzaam; gem. inkomen (12-uur)"	"Eenmaalperjaar"	"2005-2012*"
"71948ned"	"Werknemers; meer/minder werken (12-uur)"	"Eenmaalperjaar"	"1992 - 2013"
"82920NED"	"Werknemers; combibanen"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82647NED"	"Werkzame beroepsbevolking; arbeidsduur"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82807NED"	"Werkzame beroepsbevolking; bedrijf "	"Perkwartaal"	"2003 1e kwartaal - 2013 4e kwartaal"
"82808NED"	"Werkzame beroepsbevolking; beroep"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82646NED"	"Werkzame beroepsbev.; positie werkkring"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"81961NED"	"Arbeid; geboortegeneratie "	"Perjaar"	"2013"
"82433NED"	"Arbeidsparticipatie personen en partner"	"Perjaar"	"geboortegeneratie"
"82148NED"	"Personen met baan; leeftijd, herkomst"	"Pervijfjaar"	"1935/1940 t/m 1995/2000"
"82149NED"	"Personen met uitkering; geboortegen."	"Pervijfjaar"	"1935/1940 - 1999/2000"
"70924NED"	"Arbeidskosten; kerncijfers, SBI'93"	"Eenmaalperjaar"	"Periode 1997 - 2005"
"81037ned"	"Arbeidskosten; bedrijfsgrootte, 2008"	"Stopgezet"	"2008"
"81033ned"	"Arbeidskosten; bedrijfsklasse, 2008"	"Stopgezet"	"2008"
"71245NED"	"Arbeidskosten per bedrijfsklasse; 2004"	"Stopgezet"	"2004"
"70100NED"	"Arbeidskosten per bedrijfsklasse: 2000"	"Stopgezet"	"2000 "
"71246NED"	"Arbeidskosten per bedrijfstak; 2004"	"Stopgezet"	"2004"
"70099NED"	"Arbeidskosten per bedrijfstak: 2000"	"Stopgezet"	"2000 "
"81038ned"	"Arbeidskosten; structuur, 2008"	"Stopgezet"	"2008"
"81774NED"	"Arbeidskosten; kerncijfers, SBI2008"	"Pervierjaar"	"Periode 2009 - 2012"
"82871NED"	"Arbeidskosten; bedrijfsgrootte, 2012"	"Pervierjaar"	"2012"
"82845NED"	"Arbeidskosten; bedrijfsklasse, 2012"	"Pervierjaar"	"2012"
"82853NED"	"Arbeidskosten; bedrijfstak, 2012"	"Pervierjaar"	"2012"
"82679NED"	"Prijsindex arbeid; 2010=100"	"Perkwartaal"	"2001-2015 maart"
"81403ned"	"Minimumloon; baan, SBI'93, 2006-2009"	"Stopgezet"	"2006-2009"
"81407ned"	"Minimumloon;kenmerk baan, cao, 2006-2009"	"Stopgezet"	"2006-2009"
"81408ned"	"Minimumloon; werknemer, cao, 2006-2009"	"Stopgezet"	"2006-2009"
"81404ned"	"Minimumloon; werknemer,SBI'93, 2006-2009"	"Stopgezet"	"2006-2009"
"81486ned"	"Minimumloon; kenmerk baan, cao "	"Perjaar"	"2013"
"81405ned"	"Minimumloon; kenmerk baan, SBI2008"	"Perjaar"	"2013"
"81487ned"	"Minimumloon; kenmerk werknemer, cao "	"Perjaar"	"2013"
"81406ned"	"Minimumloon; kenmerk werknemer, SBI2008"	"Perjaar"	"2013"
"82578NED"	"Beloning van werknemers; bedrijfstak"	"Eenmaalperjaar"	"1995 - 2014"
"82577NED"	"Beloning van werknemers; kwartalen"	"Perkwartaal"	"1995-2015, kw1 1995-kw1 2015"
"81901NED"	"Beloningsverschil man-vrouw; kenmerken"	"Eenmaalperjaar"	"2008 - 2013"
"81920NED"	"Beloningsverschil man-vrouw; SBI 2008"	"Eenmaalperjaar"	"2008 - 2013"
"82838NED"	"Cao-lonen; indexcijfers (2010=100)"	"Permaand"	"Jaargemiddelden 2010 - 2014; 2010 kw I - 2015 kw II 2010 jan - 2015 juni"
"71503NED"	"LSO; bedrijfskenmerken en beroep"	"Stopgezet"	"Periode 2002, peildatum ultimo 2002."
"71504NED"	"LSO; cao en beroep"	"Stopgezet"	"Periode 2002, peildatum ultimo 2002."
"71502NED"	"LSO; beroep"	"Stopgezet"	"Periode 2002, peildatum ultimo 2002."
"71500NED"	"LSO; geslacht, leeftijd en beroep"	"Stopgezet"	"Periode 2002, peildatum ultimo 2002."
"71501NED"	"LSO; herkomst en beroep"	"Stopgezet"	"Periode 2002, peildatum ultimo 2002."
"71498NED"	"LSO; bedrijfskenmerken en opleiding"	"Stopgezet"	"2002"
"71499NED"	"LSO; cao en opleiding"	"Stopgezet"	"Periode 2002, peildatum ultimo 2002."
"71497NED"	"LSO; dienstverband en opleiding"	"Stopgezet"	"2002"
"71495ned"	"LSO; geslacht, leeftijd en opleiding"	"Stopgezet"	"2002"
"71496NED"	"LSO; herkomst en opleiding"	"Stopgezet"	"2002"
"82961NED"	"MBO; schoolverlaters, arbeidsmarkt"	"Eenmaalperjaar"	"schooljaren 2007/'08 - 2011/'12"
"82963NED"	"MBO; schoolverlaters, bedrijfstak"	"Perjaar"	"schooljaren 2007/'08 - 2011/'12"
"71565ned"	"VSV; arbeidsmarkt; baankenmerken"	"Eenmaalperjaar"	"2004/'05 - 2008/'09"
"71562ned"	"VSV; arbeidsmarkt; inkomsten naar regio"	"Eenmaalperjaar"	"2004/'05 - 2008/'09"
"71564ned"	"VSV; arbeidsmarkt; inkomsten uit baan"	"Eenmaalperjaar"	"2004/'05 - 2008/'09"
"71563ned"	"VSV; arbeidsmarkt; werk en uitkering"	"Eenmaalperjaar"	"2004/'05 - 2008/'09"
"82859NED"	"Arbeidsmarkt jongeren; regio 2014"	"Perjaar"	"2005 t/m 2013"
"82275NED"	"Bevolking; onderwijsniveau en herkomst"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"71763ned"	"Pensioenaanspraken; kerncijfers"	"Eenmaalperjaar"	"2005-2011"
"80457ned"	"Pensioenaanspraken; alleenstaanden"	"Eenmaalperjaar"	"2005-2011"
"80458ned"	"Pensioenaanspraken; paren"	"Eenmaalperjaar"	"2005-2011"
"80456ned"	"Pensioenaanspraken; sociaaleconomisch"	"Eenmaalperjaar"	"2005-2011"
"80455ned"	"Pensioenaanspraken van personen"	"Eenmaalperjaar"	"2005-2011"
"71093ned"	"AOW-aanspraken"	"Eenmaalperjaar"	"2004 - 2013"
"71926ned"	"Levensloop/spaarloonregeling; kenmerken"	"Eenmaalperjaar"	"2006 - 2011"
"71920ned"	"Levensloopregeling; doel deelname"	"Eenmaalperjaar"	"2006 - 2011"
"80396ned"	"Met pensioen; personen 55 jaar of ouder"	"Eenmaalperjaar"	"1999-2014"
"81091ned"	"Personen die gestopt zijn met werken"	"Eenmaalperjaar"	"2006-2011"
"81092ned"	"Personen met VUT/(pre)pensioen"	"Eenmaalperjaar"	"2006-2011"
"70087ned"	"Arbeidsgeh.; aanpassingen 2000-2006"	"Eenmalig"	"2000 - 2006 "
"70985ned"	"Arbeidsgehandicapten; geslacht,leeftijd"	"Eenmaalperjaar"	"2000 - 2013"
"70084ned"	"Arbeidsgehandicapten; profiel 2000-2011"	"Stopgezet"	"2000 - 2011"
"71204ned"	"Arbeidsomstandigheden; geslacht,leeftijd"	"Eenmaalperjaar"	"2005- 2013"
"71205ned"	"Arbeidsomstandigheden; herkomst en duur"	"Eenmaalperjaar"	"2005 - 2012"
"81633NED"	"Arbeidsomstandigheden; SBI2008"	"Eenmaalperjaar"	"2011-2012"
"81617NED"	"Arbeidsomstandigheden; SBI'93, 2005-2010"	"Stopgezet"	"2005-2010"
"83052NED"	"Arbeidsongevallen; geslacht, leeftijd"	"Perjaar"	"2014"
"83053NED"	"Arbeidsongevallen; herkomst arbeidsduur "	"Perjaar"	"2014"
"83054NED"	"Duurzame inzetbaarheid;geslacht leeftijd"	"Perjaar"	"2014"
"83055NED"	"Duurzame inzetbaarheid; herkomst en duur"	"Perjaar"	"2014"
"83044NED"	"Fysieke belasting; geslacht, leeftijd   "	"Perjaar"	"2014"
"83045NED"	"Fysieke belasting; herkomst, duur"	"Perjaar"	"2014"
"83050NED"	"PSA werknemers; herkomst en duur"	"Perjaar"	"2014"
"83049NED"	"PSA werknemers; geslacht en leeftijd"	"Perjaar"	"2014"
"83056NED"	"Ziekteverzuim; geslacht, leeftijd"	"Perjaar"	"2014"
"83057NED"	"Ziekteverzuim; herkomst, onderwijsniveau"	"Perjaar"	"2014"
"70061ned"	"Historie leden vakverenigingen"	"Eenmaalperjaar"	"1901 - 2014"
"71097ned"	"Historie werkstakingen"	"Eenmaalperjaar"	"1901 - 2014"
"80598ned"	"Leden van vakverenigingen"	"Eenmaalperjaar"	"1999 - 2014"
"60061ned"	"Werkstakingen"	"Eenmaalperjaar"	"1999 - 2014"
"80072ned"	"Ziekteverzuimpercentage SBI 2008"	"Perkwartaal"	"1e kwartaal 1996 - 1e kwartaal 2015"
"82217NED"	"Ziekteverzuim; arbeidsomstandigheden"	"Perjaar"	"2008-2013"
"82822NED"	"Ziekteverzuim; bedrijfskenmerken"	"Perjaar"	"2005-2013"
"82216NED"	"Ziekteverzuim; herkomst"	"Perjaar"	"2008-2013"
"80710ned"	"Arbeidsmarktmob.; ziek met kind,'03-'10"	"Eenmaalperjaar"	"2003-2010"
"80709ned"	"Arbeidsmarktmobiliteit; ziekte, '03-'10"	"Eenmaalperjaar"	"2003-2010"
"71856ned"	"Arbeidspatroon ouders; geboorte 1e kind"	"Eenmaalperjaar"	"2001 - 2013"
"72022ned"	"Ouderschapsverlof; gebruik en duur"	"Eenmaalperjaar"	"2000 - 2013"
"71507ned"	"Huishoudens; gebruik formele opvang"	"Pertweejaar"	"2005-2013"
"71506ned"	"Huishoudens; vormen van kinderopvang"	"Pertweejaar"	"2005-2013"
"71957ned"	"Moeders; binding met de arbeidsmarkt"	"Eenmaalperjaar"	"2001 - 2013"
"80551ned"	"Personen met langdurende zorgsituatie"	"Pertweejaar"	"2005-2011"
"71505ned"	"Werknemers; gebruik ouderschapsverlof"	"Pertweejaar"	"2005-2013"
"71516ned"	"Werknemers; zorg en verlof"	"Pertweejaar"	"2005-2013"
"71330ned"	"AOW-uitkeringen"	"Permaand"	"2006 november - 2015 mei"
"71472ned"	"AOW-uitkeringen naar regio"	"Perkwartaal"	"Kw IV 2006 - kw I 2015."
"37638aom"	"Arbeidsongeschiktheid; maand 1998-2009"	"Stopgezet"	"1998 januari - 2010 november."
"37527aos"	"Arbeidsongeschiktheid;stromen 1998-2009"	"Stopgezet"	"1998 - 2009, 1998 januari - 2009 december."
"80905ned"	"Arbeidsongeschiktheid; bedragen"	"Permaand"	"Januari 1998 - april 2015"
"80903ned"	"Arbeidsongeschiktheid; maandoverzicht"	"Permaand"	"januari 2010 - april 2015"
"80906ned"	"Arbeidsongeschiktheid; in- en uitstroom"	"Permaand"	"januari 2010 - april 2015"
"80907ned"	"Arbeidsongeschiktheid; regio"	"Perkwartaal"	"1998 kw I - 2015 kw I"
"80904NED"	"Arbeidsongeschiktheidsuitkering per wet"	"Perjaar"	"2010-2014"
"82020NED"	"Bijstand; bijstandsvorderingen, regio"	"Perkwartaal"	"Oktober t/m december 2014"
"83062NED"	"Re-integratie; stand voorzieningen"	"Perdriemaanden"	"Januari 2015 t/m maart 2015"
"82343NED"	"Re-integratie; personen per voorziening"	"Perdriemaanden"	"januari 2015 t/m maart 2015"
"83063NED"	"Re-integratie; voorzieningen, stromen"	"Perdriemaanden"	"Januari 2015 t/m maart 2015"
"82342NED"	"Re-integratie; voorzieningen,type,regio"	"Perhalfjaar"	"2014"
"82015NED"	"Bijstandsuitkeringen; regio's"	"Permaand"	"Januari 2011 t/m april 2015"
"82662NED"	"Bijstand; (her)instromers en uitstromers"	"Perkwartaal"	"2008 kwartaal 1 t/m 2014 kwartaal 4"
"82016NED"	"Personen met bijstand; persoonskenmerken"	"Permaand"	"Januari 2007 t/m april 2015"
"80792ned"	"Personen met een uitkering; aantal"	"Perkwartaal"	"Januari 2007 - december 2014"
"80793ned"	"Personen met een uitkering; leeftijd"	"Perkwartaal"	"Januari 2007 - december 2014"
"80794ned"	"Personen met een uitkering; regio"	"Perkwartaal"	"Januari 2007 - december 2014"
"83012NED"	"Personen met uitkering; wijk, buurt 2014"	"Perkwartaal"	"2014"
"81574NED"	"Uitkeringsontvangers; in- en uitstroom"	"Eenmaalperjaar"	"2001-2012"
"82316NED"	"WWers;ontwikkeling baan- en WW-situatie"	"Perjaar"	"2009-2011"
"03774wwb"	"WW-uitkeringen; bedragen"	"Permaand"	"januari 1998 - april 2015."
"37740wws"	"WW-uitkeringen; in- en uitstroom"	"Permaand"	"1998 - 2014; januari 1998 - april 2015."
"37879wwj"	"WW-uitkeringen; jaaroverzicht"	"Eenmaalperjaar"	"1998 - 2014."
"37506wwm"	"WW-uitkeringen; maandoverzicht"	"Permaand"	"Januari 1998 tot en met april 2015."
"70059ned"	"WW-uitkeringen; regionaal"	"Perkwartaal"	"1998 - 2014, 1998 kwartaal I - 2015 kwartaal I."
"70226ned"	"WW-uitkeringen; seizoengecorrigeerd"	"Permaand"	"Januari 1992 t/m april 2015."
"37789ksz"	"Sociale zekerheid; kerncijfers"	"Permaand"	"1998 - 2014, 1998 januari - 2015 mei"
"03763"	"Tijdreeksen sociale zekerheid"	"Eenmaalperjaar"	"1900 - 2013"
"81589NED"	"Bedrijven; branche (SBI 2008)"	"Perkwartaal"	"2007-2014; 2007 kwI - 2015 kwIII"
"81588NED"	"Bedrijven; grootte en rechtsvorm"	"Perkwartaal"	"2007-2014; 2007 kwI-2015 kwIII"
"81566NED"	"Bedrijven; oprichtingen 2007 - 2013     "	"Perjaar"	"2007-2013"
"82242NED"	"Faillissementen; kerncijfers"	"Permaand"	"januari 1981 - juni 2015"
"82244NED"	"Faillissementen; bedrijveninstellingen "	"Permaand"	"januari 2009 - juni 2015"
"82243NED"	"Faillissementen; natuurlijke personen"	"Permaand"	"januari 2009 - juni 2015"
"83085NED"	"Faillissementen; zittingsdaggecorrigeerd"	"Permaand"	"Januari 1981- juni 2015"
"82522NED"	"Uitgesproken faillissementen; regio"	"Permaand"	"januari 2009 - juni 2015"
"81996NED"	"Vestigingen, buitenlandse zeggenschap"	"Eenmaalperjaar"	"2010 - 2013"
"81578NED"	"Vestigingen; economische activiteit"	"Perjaar"	"2007 - 2015"
"81441ned"	"Vestigingen; economische gegevens, regio"	"Perjaar"	"2009 - 2012"
"81575NED"	"Vestigingen; gemeenten"	"Perjaar"	"2007 - 2015"
"81841NED"	"Vestigingen; oprichtingen en opheffingen"	"Perjaar"	"2007-2013"
"81644NED"	"Vestiging naar kenmerken, SBI, regio"	"Perjaar"	"2010-2015"
"82437NED"	"Conjunctuurenqute; bedrijfsgrootte"	"Viermaalperjaar"	"1e kw 2012 - 2e kw 2015"
"81838NED"	"Conjunctuurbeeld per bedrijfstak"	"Perkwartaal"	"1e kwartaal 2008 - 2e kwartaal 2015"
"82435NED"	"Conjunctuurenqute; bedrijfstakken"	"Viermaalperjaar"	"1e kw 2012 - 2e kw 2015"
"81238ned"	"Conjunctuurenqute Nederland; maand"	"Permaand"	"februari 1989 - juli 2015"
"82436NED"	"Conjunctuurenqute; regio's"	"Viermaalperjaar"	"1e kw 2012 - 2e kw 2015"
"82675NED"	"Ondernemersvertrouwen; SBI 2008"	"Perkwartaal"	"4e kw 2008 t/m 2e kw 2015"
"81234ned"	"Producentenvertrouwen"	"Permaand"	"januari 1985 - juli 2015."
"80348ned"	"Bedrijfsgegevens; benchmark"	"Eenmaalperjaar"	"2008 - 2010"
"82190NED"	"Bedrijfsgegevens;omzet (stijgers-dalers)"	"Perkwartaal"	"2012 1e kwartaal - 2014 3e kwartaal"
"81320ned"	"Bedrijfsgegevens; invloed bedrijfstak"	"Eenmaalperjaar"	"2009"
"81321ned"	"Bedrijfsgegevens; invloed bedrijfsomvang"	"Eenmaalperjaar"	"2009"
"81377ned"	"Financile kengetallen"	"Perjaar"	"2006-2013"
"80341ned"	"Regionale Rekeningen; vestigingsgrootte"	"Eenmaalperjaar"	"2007 - 2009"
"80263ned"	"Financin alle ondernemingen; 2000-2011 "	"Perjaar"	"2000-2011"
"80262ned"	"Financin grote ondernemingen; SBI 2008 "	"Perjaar"	"2000-2013"
"81837NED"	"Financin alle ondernemingen; SBI 2008"	"Perjaar"	"2011-2013"
"81352ned"	"Investering; SBI2008"	"Perjaar"	"2009-2013"
"81351ned"	"Investering vaste activa; SBI2008,regio"	"Perjaar"	"2009-2013"
"80728ned"	"Investeringen; verwachtingen en motieven"	"Tweemaalperjaar"	"2010-2015"
"82278NED"	"Bedrijfskenmerken; arbeidsproductiviteit"	"Eenmalig"	"2009 - 2010"
"82280NED"	"Bedrijfskenmerken; rentabiliteit"	"Eenmalig"	"2009 - 2010"
"82281NED"	"Bedrijfskenmerken; winstmarge"	"Eenmalig"	"2009 - 2010"
"81156ned"	"Bedrijfsleven; financin, SBI 2008"	"Eenmaalperjaar"	"2009-2013"
"81226ned"	"Bedrijven naar omvang en activiteit,2009"	"Eenmaalperjaar"	"2009"
"81387ned"	"Nijverheid, handel naar landen(groepen)"	"Perjaar"	"2009-2010"
"81389ned"	"Nijverheid, handel naar SITC-1"	"Eenmaalperjaar"	"2009-2010"
"71805NED"	"Verplaatsing bedrijfsact; banen verwacht"	"Eenmalig"	"2007"
"71731NED"	"Verplaatsing bedrijfsact.; belemmeringen"	"Eenmalig"	"2007."
"71804NED"	"Verplaatsing bedrijfsact; effecten"	"Eenmalig"	"2007"
"71730NED"	"Verplaatste bedrijfsactiviteit; landen"	"Eenmalig"	"2007."
"71803NED"	"Verplaatsing bedrijfsact; motieven"	"Eenmalig"	"2007."
"71729NED"	"Verplaatsing bedrijfsactiviteit; sector"	"Eenmalig"	"2007."
"81615NED"	"Zeggenschap bedrijven; buiten EU"	"Perjaar"	"2008-2012"
"81358ned"	"Bedrijfsleven; zeggenschap, SBI 2008"	"Perjaar"	"2008-2012"
"81069ned"	"Bedrijfsleven; zeggenschap, SBI '93"	"Eenmaalperjaar"	"2006-2008"
"80427ned"	"E-commerce, in- en verkoop; vanaf 2008"	"Eenmaalperjaar"	"2008 - 2009"
"71937ned"	"E-commerce, in- en verkoop; 1999 - 2007"	"Stopgezet"	"1999 - 2007"
"82898NED"	"ICT-gebruik bedrijfstak en grootte, 2014"	"Perjaar"	"2014"
"82896NED"	"ICT-gebruik naar bedrijfsgrootte, 2014"	"Perjaar"	"2014"
"82897NED"	"ICT-gebruik naar bedrijfstak, 2014"	"Perjaar"	"2014"
"82284NED"	"ICT-gebruik bedrijfstak en grootte, 2013"	"Perjaar"	"2013"
"82282NED"	"ICT-gebruik naar bedrijfsgrootte, 2013"	"Perjaar"	"2013"
"82283NED"	"ICT-gebruik naar bedrijfstak, 2013"	"Perjaar"	"2013"
"81896NED"	"ICT-gebruik bedrijfstak en grootte, 2012"	"Eenmalig"	"2012"
"81934NED"	"ICT-gebruik naar bedrijfsgrootte, 2012"	"Eenmalig"	"2012"
"81933NED"	"ICT-gebruik naar bedrijfstak, 2012"	"Eenmalig"	"2012"
"81520NED"	"ICT-gebruik naar bedrijfsgrootte, 2010"	"Eenmalig"	"2010"
"81521NED"	"ICT-gebruik naar bedrijfstak, 2010"	"Eenmalig"	"2010"
"81523NED"	"ICT-gebruik bedrijfstak en grootte, 2010"	"Eenmalig"	"2010"
"80711ned"	"Bedrijven; ICT-gebruik (SBI2008), 2009"	"Eenmalig"	"2009"
"80712ned"	"ICT-gebruik naar bedrijfsgrootte, 2009"	"Eenmalig"	"2009"
"80713ned"	"ICT-gebruik bedrijfstak en grootte, 2009"	"Eenmalig"	"2009"
"71918ned"	"ICT finan. sector bedrijfsgrootte, 2007"	"Eenmalig"	"2007"
"71769ned"	"ICT finan. sector bedrijfsgrootte, 2006"	"Eenmalig"	"2006"
"71211NED"	"ICT finan. sector, bedrijfsgrootte; 2005"	"Eenmalig"	"2005"
"71919ned"	"ICT finan. sector naar bedrijfstak, 2007"	"Eenmalig"	"2007"
"71770ned"	"ICT finan. sector naar bedrijfstak, 2006"	"Eenmalig"	"2006"
"71212NED"	"ICT finan. sector, SBI-afd/grootte; 2005"	"Eenmalig"	"2005"
"71993ned"	"ICT grote bedrijven; motieven e-business"	"Stopgezet"	"2006-2008"
"71956ned"	"ICT grote bedrijven; stellingen over ICT"	"Stopgezet"	"2006-2008"
"71992ned"	"ICT; standaardisatie gegevensdefinities"	"Stopgezet"	"2006-2008"
"71954ned"	"ICT; standaardisatie softwarepakketten"	"Stopgezet"	"2006-2008"
"71953ned"	"Samenwerking grote bedrijven; effecten"	"Stopgezet"	"2006-2008"
"80015ned"	"Samenwerking door grote bedrijven"	"Stopgezet"	"2006-2008"
"80018ned"	"ICT en samenwerking bij grote bedrijven"	"Stopgezet"	"2006-2008"
"80066ned"	"Bedrijven met innovaties; kerncijfers"	"Pertweejaar"	"1994-2012"
"82810NED"	"Innovatie bij bedrijven"	"Pertweejaar"	"2010-2012"
"82811NED"	"Innovatie; bedrijfsgrootte"	"Pertweejaar"	"2010-2012"
"81698NED"	"Innovatie bij bedrijven; 2008-2010"	"Pertweejaar"	"2008-2010"
"81461ned"	"Innovatie bij bedrijven; 2006-2008"	"Pertweejaar"	"2006-2008"
